Date,Product_Category,Units_Sold,Unit_Price,Total_Revenue
2021-01-15,Jeans,39.0,60.0,2340.0
2021-01-15,Jackets,20.0,120.0,2400.0
2021-01-15,Dresses,10.0,80.0,800.0
2021-01-15,Accessories,19.0,15.0,285.0
2021-01-16,T-Shirts,44.0,25.0,1100.0
2021-01-16,Jeans,46.0,60.0,2760.0
2021-01-16,Jackets,29.0,120.0,3480.0
2021-01-16,Dresses,11.0,80.0,880.0
2021-01-16,Accessories,37.0,15.0,555.0
2021-01-17,T-Shirts,36.0,25.0,900.0
2021-01-17,Jeans,48.0,60.0,2880.0
2021-01-17,Jackets,39.0,120.0,4680.0
2021-01-17,Dresses,10.0,80.0,800.0
2021-01-17,Accessories,51.0,15.0,765.0
2021-01-18,T-Shirts,22.0,25.0,550.0
2021-01-18,Jeans,35.0,60.0,2100.0
2021-01-18,Jackets,21.0,120.0,2520.0
2021-01-18,Dresses,,80.0,
2021-01-18,Accessories,44.0,15.0,660.0
2021-01-19,T-Shirts,25.0,25.0,625.0
2021-01-19,Jeans,36.0,60.0,2160.0
2021-01-19,Jackets,17.0,120.0,2040.0
2021-01-19,Dresses,7.0,80.0,560.0
2021-01-19,Accessories,37.0,15.0,555.0
2021-01-20,T-Shirts,18.0,25.0,450.0
2021-01-20,Jeans,32.0,60.0,1920.0
2021-01-20,Jackets,21.0,120.0,2520.0
2021-01-20,Dresses,7.0,80.0,560.0
2021-01-20,Accessories,,15.0,
2021-01-21,T-Shirts,18.0,25.0,450.0
2021-01-21,Jeans,27.0,60.0,1620.0
2021-01-21,Jackets,19.0,120.0,2280.0
2021-01-21,Dresses,6.0,80.0,480.0
2021-01-21,Accessories,39.0,15.0,585.0
2021-01-22,T-Shirts,27.0,25.0,675.0
2021-01-22,Jeans,41.0,60.0,2460.0
2021-01-22,Jackets,21.0,120.0,2520.0
2021-01-22,Dresses,8.0,80.0,640.0
2021-01-22,Accessories,40.0,15.0,600.0
2021-01-23,T-Shirts,23.0,25.0,575.0
2021-01-23,Jeans,45.0,60.0,2700.0
2021-01-23,Jackets,31.0,120.0,3720.0
2021-01-23,Dresses,17.0,80.0,1360.0
2021-01-23,Accessories,59.0,15.0,885.0
2021-01-24,T-Shirts,40.0,25.0,1000.0
2021-01-24,Jeans,45.0,60.0,2700.0
2021-01-24,Jackets,24.0,120.0,2880.0
2021-01-24,Dresses,14.0,80.0,1120.0
2021-01-24,Accessories,70.0,15.0,1050.0
2021-01-25,T-Shirts,29.0,25.0,725.0
2021-01-25,Jeans,25.0,60.0,1500.0
2021-01-25,Jackets,26.0,120.0,3120.0
2021-01-25,Dresses,5.0,80.0,400.0
2021-01-25,Accessories,45.0,15.0,675.0
2021-01-26,T-Shirts,36.0,25.0,900.0
2021-01-26,Jeans,24.0,60.0,1440.0
2021-01-26,Jackets,18.0,120.0,2160.0
2021-01-26,Dresses,8.0,80.0,640.0
2021-01-26,Accessories,36.0,15.0,540.0
2021-01-27,T-Shirts,17.0,25.0,425.0
2021-01-27,Jeans,30.0,60.0,1800.0
2021-01-27,Jackets,16.0,120.0,1920.0
2021-01-27,Dresses,8.0,80.0,640.0
2021-01-27,Accessories,33.0,15.0,495.0
2021-01-28,T-Shirts,33.0,25.0,825.0
2021-01-28,Jeans,25.0,60.0,1500.0
2021-01-28,Jackets,19.0,120.0,2280.0
2021-01-28,Dresses,9.0,80.0,720.0
2021-01-28,Accessories,31.0,15.0,465.0
2021-01-29,T-Shirts,26.0,25.0,650.0
2021-01-29,Jeans,38.0,60.0,2280.0
2021-01-29,Jackets,14.0,120.0,1680.0
2021-01-29,Dresses,8.0,80.0,640.0
2021-01-29,Accessories,43.0,15.0,645.0
2021-01-30,T-Shirts,44.0,25.0,1100.0
2021-01-30,Jeans,34.0,60.0,2040.0
2021-01-30,Jackets,23.0,120.0,2760.0
2021-01-30,Dresses,13.0,80.0,1040.0
2021-01-30,Accessories,65.0,15.0,975.0
2021-01-31,T-Shirts,40.0,25.0,1000.0
2021-01-31,Jeans,49.0,60.0,2940.0
2021-01-31,Jackets,27.0,120.0,3240.0
2021-01-31,Dresses,12.0,80.0,960.0
2021-01-31,Accessories,65.0,15.0,975.0
2021-02-01,T-Shirts,22.0,25.0,550.0
2021-02-01,Jeans,41.0,60.0,2460.0
2021-02-01,Jackets,23.0,120.0,2760.0
2021-02-01,Dresses,6.0,80.0,480.0
2021-02-01,Accessories,46.0,15.0,690.0
2021-02-02,T-Shirts,20.0,25.0,500.0
2021-02-02,Jeans,35.0,60.0,2100.0
2021-02-02,Jackets,25.0,120.0,3000.0
2021-02-02,Dresses,6.0,80.0,480.0
2021-02-02,Accessories,48.0,15.0,720.0
2021-02-03,T-Shirts,27.0,25.0,675.0
2021-02-03,Jeans,35.0,60.0,2100.0
2021-02-03,Jackets,28.0,120.0,3360.0
2021-02-03,Dresses,7.0,80.0,560.0
2021-02-03,Accessories,35.0,15.0,525.0
2021-02-04,T-Shirts,21.0,25.0,525.0
2021-02-04,Jeans,25.0,60.0,1500.0
2021-02-04,Jackets,21.0,120.0,2520.0
2021-02-04,Dresses,8.0,80.0,640.0
2021-02-04,Accessories,43.0,15.0,645.0
2021-02-05,T-Shirts,30.0,25.0,750.0
2021-02-05,Jeans,30.0,60.0,1800.0
2021-02-05,Jackets,27.0,120.0,3240.0
2021-02-05,Dresses,7.0,80.0,560.0
2021-02-05,Accessories,63.0,15.0,945.0
2021-02-06,T-Shirts,43.0,25.0,1075.0
2021-02-06,Jeans,38.0,60.0,2280.0
2021-02-06,Jackets,25.0,120.0,3000.0
2021-02-06,Dresses,13.0,80.0,1040.0
2021-02-06,Accessories,59.0,15.0,885.0
2021-02-07,T-Shirts,44.0,25.0,1100.0
2021-02-07,Jeans,50.0,60.0,3000.0
2021-02-07,Jackets,31.0,120.0,3720.0
2021-02-07,Dresses,10.0,80.0,800.0
2021-02-07,Accessories,44.0,15.0,660.0
2021-02-08,T-Shirts,23.0,25.0,575.0
2021-02-08,Jeans,35.0,60.0,2100.0
2021-02-08,Jackets,22.0,120.0,2640.0
2021-02-08,Dresses,6.0,80.0,480.0
2021-02-08,Accessories,42.0,15.0,630.0
2021-02-09,T-Shirts,27.0,25.0,675.0
2021-02-09,Jeans,25.0,60.0,1500.0
2021-02-09,Jackets,22.0,120.0,2640.0
2021-02-09,Dresses,8.0,80.0,640.0
2021-02-09,Accessories,32.0,15.0,480.0
2021-02-10,T-Shirts,27.0,25.0,675.0
2021-02-10,Jeans,34.0,60.0,2040.0
2021-02-10,Jackets,25.0,120.0,3000.0
2021-02-10,Dresses,9.0,80.0,720.0
2021-02-10,Accessories,30.0,15.0,450.0
2021-02-11,T-Shirts,21.0,25.0,525.0
2021-02-11,Jeans,33.0,60.0,1980.0
2021-02-11,Jackets,23.0,120.0,2760.0
2021-02-11,Dresses,8.0,80.0,640.0
2021-02-11,Accessories,72.0,15.0,1080.0
2021-02-12,T-Shirts,28.0,25.0,700.0
2021-02-12,Jeans,37.0,60.0,2220.0
2021-02-12,Jackets,25.0,120.0,3000.0
2021-02-12,Dresses,9.0,80.0,720.0
2021-02-12,Accessories,39.0,15.0,585.0
2021-02-13,T-Shirts,44.0,25.0,1100.0
2021-02-13,Jeans,39.0,60.0,2340.0
2021-02-13,Jackets,31.0,120.0,3720.0
2021-02-13,Dresses,11.0,80.0,880.0
2021-02-13,Accessories,63.0,15.0,945.0
2021-02-14,T-Shirts,56.0,25.0,1400.0
2021-02-14,Jeans,29.0,60.0,1740.0
2021-02-14,Jackets,36.0,120.0,4320.0
2021-02-14,Dresses,8.0,80.0,640.0
2021-02-14,Accessories,56.0,15.0,840.0
2021-02-15,T-Shirts,31.0,25.0,775.0
2021-02-15,Jeans,31.0,60.0,1860.0
2021-02-15,Jackets,17.0,120.0,2040.0
2021-02-15,Dresses,7.0,80.0,560.0
2021-02-15,Accessories,47.0,15.0,705.0
2021-02-16,T-Shirts,22.0,25.0,550.0
2021-02-16,Jeans,32.0,60.0,1920.0
2021-02-16,Jackets,22.0,120.0,2640.0
2021-02-16,Dresses,7.0,80.0,560.0
2021-02-16,Accessories,58.0,15.0,870.0
2021-02-17,T-Shirts,29.0,25.0,725.0
2021-02-17,Jeans,18.0,60.0,1080.0
2021-02-17,Jackets,22.0,120.0,2640.0
2021-02-17,Dresses,7.0,80.0,560.0
2021-02-17,Accessories,48.0,15.0,720.0
2021-02-18,T-Shirts,22.0,25.0,550.0
2021-02-18,Jeans,30.0,60.0,1800.0
2021-02-18,Jackets,23.0,120.0,2760.0
2021-02-18,Dresses,9.0,80.0,720.0
2021-02-18,Accessories,32.0,15.0,480.0
2021-02-19,T-Shirts,24.0,25.0,600.0
2021-02-19,Jeans,28.0,60.0,1680.0
2021-02-19,Jackets,19.0,120.0,2280.0
2021-02-19,Dresses,10.0,80.0,800.0
2021-02-19,Accessories,45.0,15.0,675.0
2021-02-20,T-Shirts,29.0,25.0,725.0
2021-02-20,Jeans,54.0,60.0,3240.0
2021-02-20,Jackets,45.0,120.0,5400.0
2021-02-20,Dresses,14.0,80.0,1120.0
2021-02-20,Accessories,44.0,15.0,660.0
2021-02-21,T-Shirts,35.0,25.0,875.0
2021-02-21,Jeans,57.0,60.0,3420.0
2021-02-21,Jackets,28.0,120.0,3360.0
2021-02-21,Dresses,13.0,80.0,1040.0
2021-02-21,Accessories,72.0,15.0,1080.0
2021-02-22,T-Shirts,21.0,25.0,525.0
2021-02-22,Jeans,30.0,60.0,1800.0
2021-02-22,Jackets,9.0,120.0,1080.0
2021-02-22,Dresses,6.0,80.0,480.0
2021-02-22,Accessories,40.0,15.0,600.0
2021-02-23,T-Shirts,20.0,25.0,500.0
2021-02-23,Jeans,40.0,60.0,2400.0
2021-02-23,Jackets,16.0,120.0,1920.0
2021-02-23,Dresses,7.0,80.0,560.0
2021-02-23,Accessories,43.0,15.0,645.0
2021-02-24,T-Shirts,33.0,25.0,825.0
2021-02-24,Jeans,22.0,60.0,1320.0
2021-02-24,Jackets,26.0,120.0,3120.0
2021-02-24,Dresses,8.0,80.0,640.0
2021-02-24,Accessories,34.0,15.0,510.0
2021-02-25,T-Shirts,28.0,25.0,700.0
2021-02-25,Jeans,32.0,60.0,1920.0
2021-02-25,Jackets,19.0,120.0,2280.0
2021-02-25,Dresses,8.0,80.0,640.0
2021-02-25,Accessories,39.0,15.0,585.0
2021-02-26,T-Shirts,26.0,25.0,650.0
2021-02-26,Jeans,35.0,60.0,2100.0
2021-02-26,Jackets,,120.0,
2021-02-26,Dresses,6.0,80.0,480.0
2021-02-26,Accessories,59.0,15.0,885.0
2021-02-27,T-Shirts,24.0,25.0,600.0
2021-02-27,Jeans,45.0,60.0,2700.0
2021-02-27,Jackets,36.0,120.0,4320.0
2021-02-27,Dresses,13.0,80.0,1040.0
2021-02-27,Accessories,55.0,15.0,825.0
2021-02-28,T-Shirts,38.0,25.0,950.0
2021-02-28,Jeans,,60.0,
2021-02-28,Jackets,29.0,120.0,3480.0
2021-02-28,Dresses,14.0,80.0,1120.0
2021-02-28,Accessories,67.0,15.0,1005.0
2021-03-01,T-Shirts,46.0,25.0,1150.0
2021-03-01,Jeans,36.0,60.0,2160.0
2021-03-01,Jackets,5.0,120.0,600.0
2021-03-01,Dresses,19.0,80.0,1520.0
2021-03-01,Accessories,47.0,15.0,705.0
2021-03-02,T-Shirts,44.0,25.0,1100.0
2021-03-02,Jeans,27.0,60.0,1620.0
2021-03-02,Jackets,6.0,120.0,720.0
2021-03-02,Dresses,18.0,80.0,1440.0
2021-03-02,Accessories,42.0,15.0,630.0
2021-03-03,T-Shirts,54.0,25.0,1350.0
2021-03-03,Jeans,38.0,60.0,2280.0
2021-03-03,Jackets,5.0,120.0,600.0
2021-03-03,Dresses,18.0,80.0,1440.0
2021-03-03,Accessories,40.0,15.0,600.0
2021-03-04,T-Shirts,50.0,25.0,1250.0
2021-03-04,Jeans,37.0,60.0,2220.0
2021-03-04,Jackets,,120.0,
2021-03-04,Dresses,19.0,80.0,1520.0
2021-03-04,Accessories,52.0,15.0,780.0
2021-03-05,T-Shirts,53.0,25.0,1325.0
2021-03-05,Jeans,35.0,60.0,2100.0
2021-03-05,Jackets,5.0,120.0,600.0
2021-03-05,Dresses,17.0,80.0,1360.0
2021-03-05,Accessories,41.0,15.0,615.0
2021-03-06,T-Shirts,81.0,25.0,2025.0
2021-03-06,Jeans,52.0,60.0,3120.0
2021-03-06,Jackets,7.0,120.0,840.0
2021-03-06,Dresses,34.0,80.0,2720.0
2021-03-06,Accessories,51.0,15.0,765.0
2021-03-07,T-Shirts,61.0,25.0,1525.0
2021-03-07,Jeans,57.0,60.0,3420.0
2021-03-07,Jackets,9.0,120.0,1080.0
2021-03-07,Dresses,28.0,80.0,2240.0
2021-03-07,Accessories,71.0,15.0,1065.0
2021-03-08,T-Shirts,53.0,25.0,1325.0
2021-03-08,Jeans,25.0,60.0,1500.0
2021-03-08,Jackets,5.0,120.0,600.0
2021-03-08,Dresses,14.0,80.0,1120.0
2021-03-08,Accessories,50.0,15.0,750.0
2021-03-09,T-Shirts,51.0,25.0,1275.0
2021-03-09,Jeans,26.0,60.0,1560.0
2021-03-09,Jackets,5.0,120.0,600.0
2021-03-09,Dresses,18.0,80.0,1440.0
2021-03-09,Accessories,38.0,15.0,570.0
2021-03-10,T-Shirts,45.0,25.0,1125.0
2021-03-10,Jeans,32.0,60.0,1920.0
2021-03-10,Jackets,5.0,120.0,600.0
2021-03-10,Dresses,15.0,80.0,1200.0
2021-03-10,Accessories,38.0,15.0,570.0
2021-03-11,T-Shirts,55.0,25.0,1375.0
2021-03-11,Jeans,22.0,60.0,1320.0
2021-03-11,Jackets,4.0,120.0,480.0
2021-03-11,Dresses,14.0,80.0,1120.0
2021-03-11,Accessories,41.0,15.0,615.0
2021-03-12,T-Shirts,56.0,25.0,1400.0
2021-03-12,Jeans,40.0,60.0,2400.0
2021-03-12,Jackets,6.0,120.0,720.0
2021-03-12,Dresses,16.0,80.0,1280.0
2021-03-12,Accessories,42.0,15.0,630.0
2021-03-13,T-Shirts,65.0,25.0,1625.0
2021-03-13,Jeans,46.0,60.0,2760.0
2021-03-13,Jackets,8.0,120.0,960.0
2021-03-13,Dresses,27.0,80.0,2160.0
2021-03-13,Accessories,54.0,15.0,810.0
2021-03-14,T-Shirts,88.0,25.0,2200.0
2021-03-14,Jeans,60.0,60.0,3600.0
2021-03-14,Jackets,8.0,120.0,960.0
2021-03-14,Dresses,27.0,80.0,2160.0
2021-03-14,Accessories,72.0,15.0,1080.0
2021-03-15,T-Shirts,49.0,25.0,1225.0
2021-03-15,Jeans,32.0,60.0,1920.0
2021-03-15,Jackets,5.0,120.0,600.0
2021-03-15,Dresses,17.0,80.0,1360.0
2021-03-15,Accessories,36.0,15.0,540.0
2021-03-16,T-Shirts,53.0,25.0,1325.0
2021-03-16,Jeans,34.0,60.0,2040.0
2021-03-16,Jackets,7.0,120.0,840.0
2021-03-16,Dresses,20.0,80.0,1600.0
2021-03-16,Accessories,60.0,15.0,900.0
2021-03-17,T-Shirts,46.0,25.0,1150.0
2021-03-17,Jeans,36.0,60.0,2160.0
2021-03-17,Jackets,5.0,120.0,600.0
2021-03-17,Dresses,23.0,80.0,1840.0
2021-03-17,Accessories,36.0,15.0,540.0
2021-03-18,T-Shirts,45.0,25.0,1125.0
2021-03-18,Jeans,27.0,60.0,1620.0
2021-03-18,Jackets,3.0,120.0,360.0
2021-03-18,Dresses,15.0,80.0,1200.0
2021-03-18,Accessories,36.0,15.0,540.0
2021-03-19,T-Shirts,55.0,25.0,1375.0
2021-03-19,Jeans,33.0,60.0,1980.0
2021-03-19,Jackets,7.0,120.0,840.0
2021-03-19,Dresses,20.0,80.0,1600.0
2021-03-19,Accessories,38.0,15.0,570.0
2021-03-20,T-Shirts,67.0,25.0,1675.0
2021-03-20,Jeans,,60.0,
2021-03-20,Jackets,6.0,120.0,720.0
2021-03-20,Dresses,34.0,80.0,2720.0
2021-03-20,Accessories,78.0,15.0,1170.0
2021-03-21,T-Shirts,73.0,25.0,1825.0
2021-03-21,Jeans,31.0,60.0,1860.0
2021-03-21,Jackets,10.0,120.0,1200.0
2021-03-21,Dresses,25.0,80.0,2000.0
2021-03-21,Accessories,79.0,15.0,1185.0
2021-03-22,T-Shirts,38.0,25.0,950.0
2021-03-22,Jeans,28.0,60.0,1680.0
2021-03-22,Jackets,5.0,120.0,600.0
2021-03-22,Dresses,17.0,80.0,1360.0
2021-03-22,Accessories,39.0,15.0,585.0
2021-03-23,T-Shirts,60.0,25.0,1500.0
2021-03-23,Jeans,25.0,60.0,1500.0
2021-03-23,Jackets,5.0,120.0,600.0
2021-03-23,Dresses,17.0,80.0,1360.0
2021-03-23,Accessories,47.0,15.0,705.0
2021-03-24,T-Shirts,61.0,25.0,1525.0
2021-03-24,Jeans,,60.0,
2021-03-24,Jackets,4.0,120.0,480.0
2021-03-24,Dresses,21.0,80.0,1680.0
2021-03-24,Accessories,45.0,15.0,675.0
2021-03-25,T-Shirts,46.0,25.0,1150.0
2021-03-25,Jeans,40.0,60.0,2400.0
2021-03-25,Jackets,5.0,120.0,600.0
2021-03-25,Dresses,21.0,80.0,1680.0
2021-03-25,Accessories,43.0,15.0,645.0
2021-03-26,T-Shirts,74.0,25.0,1850.0
2021-03-26,Jeans,42.0,60.0,2520.0
2021-03-26,Jackets,5.0,120.0,600.0
2021-03-26,Dresses,20.0,80.0,1600.0
2021-03-26,Accessories,48.0,15.0,720.0
2021-03-27,T-Shirts,101.0,25.0,2525.0
2021-03-27,Jeans,38.0,60.0,2280.0
2021-03-27,Jackets,9.0,120.0,1080.0
2021-03-27,Dresses,31.0,80.0,2480.0
2021-03-27,Accessories,43.0,15.0,645.0
2021-03-28,T-Shirts,63.0,25.0,1575.0
2021-03-28,Jeans,29.0,60.0,1740.0
2021-03-28,Jackets,8.0,120.0,960.0
2021-03-28,Dresses,29.0,80.0,2320.0
2021-03-28,Accessories,83.0,15.0,1245.0
2021-03-29,T-Shirts,55.0,25.0,1375.0
2021-03-29,Jeans,41.0,60.0,2460.0
2021-03-29,Jackets,4.0,120.0,480.0
2021-03-29,Dresses,12.0,80.0,960.0
2021-03-29,Accessories,43.0,15.0,645.0
2021-03-30,T-Shirts,58.0,25.0,1450.0
2021-03-30,Jeans,31.0,60.0,1860.0
2021-03-30,Jackets,3.0,120.0,360.0
2021-03-30,Dresses,17.0,80.0,1360.0
2021-03-30,Accessories,33.0,15.0,495.0
2021-03-31,T-Shirts,61.0,25.0,1525.0
2021-03-31,Jeans,33.0,60.0,1980.0
2021-03-31,Jackets,4.0,120.0,480.0
2021-03-31,Dresses,16.0,80.0,1280.0
2021-03-31,Accessories,35.0,15.0,525.0
2021-04-01,T-Shirts,53.0,25.0,1325.0
2021-04-01,Jeans,37.0,60.0,2220.0
2021-04-01,Jackets,4.0,120.0,480.0
2021-04-01,Dresses,19.0,80.0,1520.0
2021-04-01,Accessories,39.0,15.0,585.0
2021-04-02,T-Shirts,46.0,25.0,1150.0
2021-04-02,Jeans,31.0,60.0,1860.0
2021-04-02,Jackets,4.0,120.0,480.0
2021-04-02,Dresses,16.0,80.0,1280.0
2021-04-02,Accessories,34.0,15.0,510.0
2021-04-03,T-Shirts,111.0,25.0,2775.0
2021-04-03,Jeans,48.0,60.0,2880.0
2021-04-03,Jackets,7.0,120.0,840.0
2021-04-03,Dresses,27.0,80.0,2160.0
2021-04-03,Accessories,64.0,15.0,960.0
2021-04-04,T-Shirts,78.0,25.0,1950.0
2021-04-04,Jeans,,60.0,
2021-04-04,Jackets,10.0,120.0,1200.0
2021-04-04,Dresses,24.0,80.0,1920.0
2021-04-04,Accessories,58.0,15.0,870.0
2021-04-05,T-Shirts,51.0,25.0,1275.0
2021-04-05,Jeans,18.0,60.0,1080.0
2021-04-05,Jackets,4.0,120.0,480.0
2021-04-05,Dresses,21.0,80.0,1680.0
2021-04-05,Accessories,56.0,15.0,840.0
2021-04-06,T-Shirts,52.0,25.0,1300.0
2021-04-06,Jeans,35.0,60.0,2100.0
2021-04-06,Jackets,6.0,120.0,720.0
2021-04-06,Dresses,27.0,80.0,2160.0
2021-04-06,Accessories,52.0,15.0,780.0
2021-04-07,T-Shirts,53.0,25.0,1325.0
2021-04-07,Jeans,26.0,60.0,1560.0
2021-04-07,Jackets,4.0,120.0,480.0
2021-04-07,Dresses,18.0,80.0,1440.0
2021-04-07,Accessories,37.0,15.0,555.0
2021-04-08,T-Shirts,40.0,25.0,1000.0
2021-04-08,Jeans,28.0,60.0,1680.0
2021-04-08,Jackets,4.0,120.0,480.0
2021-04-08,Dresses,22.0,80.0,1760.0
2021-04-08,Accessories,50.0,15.0,750.0
2021-04-09,T-Shirts,54.0,25.0,1350.0
2021-04-09,Jeans,40.0,60.0,2400.0
2021-04-09,Jackets,6.0,120.0,720.0
2021-04-09,Dresses,15.0,80.0,1200.0
2021-04-09,Accessories,56.0,15.0,840.0
2021-04-10,T-Shirts,90.0,25.0,2250.0
2021-04-10,Jeans,38.0,60.0,2280.0
2021-04-10,Jackets,8.0,120.0,960.0
2021-04-10,Dresses,23.0,80.0,1840.0
2021-04-10,Accessories,49.0,15.0,735.0
2021-04-11,T-Shirts,96.0,25.0,2400.0
2021-04-11,Jeans,65.0,60.0,3900.0
2021-04-11,Jackets,6.0,120.0,720.0
2021-04-11,Dresses,29.0,80.0,2320.0
2021-04-11,Accessories,58.0,15.0,870.0
2021-04-12,T-Shirts,50.0,25.0,1250.0
2021-04-12,Jeans,28.0,60.0,1680.0
2021-04-12,Jackets,5.0,120.0,600.0
2021-04-12,Dresses,18.0,80.0,1440.0
2021-04-12,Accessories,37.0,15.0,555.0
2021-04-13,T-Shirts,57.0,25.0,1425.0
2021-04-13,Jeans,31.0,60.0,1860.0
2021-04-13,Jackets,5.0,120.0,600.0
2021-04-13,Dresses,15.0,80.0,1200.0
2021-04-13,Accessories,39.0,15.0,585.0
2021-04-14,T-Shirts,62.0,25.0,1550.0
2021-04-14,Jeans,35.0,60.0,2100.0
2021-04-14,Jackets,5.0,120.0,600.0
2021-04-14,Dresses,18.0,80.0,1440.0
2021-04-14,Accessories,50.0,15.0,750.0
2021-04-15,T-Shirts,38.0,25.0,950.0
2021-04-15,Jeans,35.0,60.0,2100.0
2021-04-15,Jackets,5.0,120.0,600.0
2021-04-15,Dresses,19.0,80.0,1520.0
2021-04-15,Accessories,38.0,15.0,570.0
2021-04-16,T-Shirts,37.0,25.0,925.0
2021-04-16,Jeans,22.0,60.0,1320.0
2021-04-16,Jackets,6.0,120.0,720.0
2021-04-16,Dresses,18.0,80.0,1440.0
2021-04-16,Accessories,36.0,15.0,540.0
2021-04-17,T-Shirts,92.0,25.0,2300.0
2021-04-17,Jeans,33.0,60.0,1980.0
2021-04-17,Jackets,8.0,120.0,960.0
2021-04-17,Dresses,21.0,80.0,1680.0
2021-04-17,Accessories,58.0,15.0,870.0
2021-04-18,T-Shirts,83.0,25.0,2075.0
2021-04-18,Jeans,40.0,60.0,2400.0
2021-04-18,Jackets,8.0,120.0,960.0
2021-04-18,Dresses,31.0,80.0,2480.0
2021-04-18,Accessories,59.0,15.0,885.0
2021-04-19,T-Shirts,63.0,25.0,1575.0
2021-04-19,Jeans,25.0,60.0,1500.0
2021-04-19,Jackets,6.0,120.0,720.0
2021-04-19,Dresses,22.0,80.0,1760.0
2021-04-19,Accessories,24.0,15.0,360.0
2021-04-20,T-Shirts,47.0,25.0,1175.0
2021-04-20,Jeans,35.0,60.0,2100.0
2021-04-20,Jackets,5.0,120.0,600.0
2021-04-20,Dresses,19.0,80.0,1520.0
2021-04-20,Accessories,39.0,15.0,585.0
2021-04-21,T-Shirts,56.0,25.0,1400.0
2021-04-21,Jeans,31.0,60.0,1860.0
2021-04-21,Jackets,7.0,120.0,840.0
2021-04-21,Dresses,19.0,80.0,1520.0
2021-04-21,Accessories,47.0,15.0,705.0
2021-04-22,T-Shirts,51.0,25.0,1275.0
2021-04-22,Jeans,29.0,60.0,1740.0
2021-04-22,Jackets,5.0,120.0,600.0
2021-04-22,Dresses,19.0,80.0,1520.0
2021-04-22,Accessories,41.0,15.0,615.0
